,x,y,z,num_of_neighbor_lesions,avg_of_num_of_neighbor_lesions,diff_of_num_of_neighbor_lesions_and_avg_of_num_of_neighbor_lesions,voxel_intensity,average_intensity_of_neighbor_voxels,diff_of_vox_int_and_avg_int_of_nei_vox
1590,123,135,33,11,11.2727272727,-0.272727272727,845.0,718.272727273,126.727272727
1591,123,136,32,12,12.0,0.0,527.0,746.75,-219.75
1592,123,136,33,12,12.0,0.0,740.0,729.0,11.0
1593,123,137,33,12,11.5833333333,0.416666666667,808.0,727.916666667,80.0833333333
1594,123,138,33,11,10.8181818182,0.181818181818,855.0,752.909090909,102.090909091
1595,123,139,32,10,9.9,0.1,542.0,786.7,-244.7
1596,123,139,33,10,9.9,0.1,871.0,753.8,117.2
1597,123,140,32,8,8.875,-0.875,591.0,765.875,-174.875
1598,123,140,33,8,8.875,-0.875,911.0,725.875,185.125
1599,123,141,32,5,8.0,-3.0,624.0,795.4,-171.4
1600,123,143,34,5,6.8,-1.8,729.0,738.0,-9.0
1601,123,144,34,5,6.4,-1.4,667.0,691.6,-24.6
1602,123,145,12,4,5.0,-1.0,582.0,642.5,-60.5
1603,123,145,34,5,5.6,-0.6,664.0,688.4,-24.4
1604,123,146,13,6,4.83333333333,1.16666666667,629.0,650.5,-21.5
1605,123,146,34,4,4.5,-0.5,611.0,656.0,-45.0
1606,123,147,13,6,4.5,1.5,628.0,682.666666667,-54.6666666667
1607,123,147,27,3,2.66666666667,0.333333333333,691.0,711.333333333,-20.3333333333
1608,123,147,28,3,2.66666666667,0.333333333333,661.0,721.333333333,-60.3333333333
1609,123,149,31,7,7.71428571429,-0.714285714286,667.0,659.714285714,7.28571428571
1610,123,149,33,6,9.16666666667,-3.16666666667,719.0,643.0,76.0
1611,123,150,13,6,7.83333333333,-1.83333333333,598.0,648.166666667,-50.1666666667
1612,123,150,31,8,8.0,0.0,660.0,628.625,31.375
1613,123,150,33,6,7.66666666667,-1.66666666667,588.0,627.0,-39.0
1614,123,151,9,2,3.5,-1.5,612.0,568.0,44.0
1615,123,151,12,11,6.09090909091,4.90909090909,625.0,621.727272727,3.27272727273
1616,123,151,13,8,7.125,0.875,596.0,627.25,-31.25
1617,123,151,31,8,8.5,-0.5,675.0,605.625,69.375
1618,123,152,9,4,3.25,0.75,592.0,604.0,-12.0
1619,123,152,12,8,6.875,1.125,562.0,617.875,-55.875
1620,123,152,31,8,9.25,-1.25,635.0,608.625,26.375
1621,123,152,32,9,8.44444444444,0.555555555556,624.0,606.0,18.0
1622,123,153,8,3,3.66666666667,-0.666666666667,574.0,630.0,-56.0
1623,123,153,26,0,,,685.0,,
1624,123,153,31,10,9.2,0.8,704.0,636.0,68.0
1625,123,153,32,9,9.44444444444,-0.444444444444,553.0,650.777777778,-97.7777777778
1626,123,154,8,2,4.0,-2.0,612.0,630.0,-18.0
1627,123,154,30,8,8.375,-0.375,654.0,648.875,5.125
1628,123,154,31,9,9.11111111111,-0.111111111111,734.0,626.888888889,107.111111111
1629,123,155,31,6,9.0,-3.0,567.0,651.5,-84.5
1630,123,156,28,1,3.0,-2.0,718.0,596.0,122.0
1631,123,177,10,0,,,667.0,,
1632,124,79,32,4,4.0,0.0,640.0,639.25,0.75
1633,124,80,32,4,4.25,-0.25,620.0,642.0,-22.0
1634,124,83,32,3,4.66666666667,-1.66666666667,706.0,724.666666667,-18.6666666667
1635,124,101,32,6,8.16666666667,-2.16666666667,605.0,630.333333333,-25.3333333333
1636,124,102,28,3,5.0,-2.0,708.0,716.0,-8.0
1637,124,103,28,5,4.8,0.2,700.0,697.6,2.4
1638,124,104,28,5,5.2,-0.2,673.0,678.4,-5.4
1639,124,104,31,5,7.8,-2.8,801.0,768.2,32.8
1640,124,105,28,4,5.25,-1.25,640.0,672.5,-32.5
1641,124,105,33,5,6.8,-1.8,634.0,684.0,-50.0
1642,124,106,33,9,8.33333333333,0.666666666667,799.0,682.555555556,116.444444444
1643,124,107,33,9,10.3333333333,-1.33333333333,833.0,688.333333333,144.666666667
1644,124,107,34,9,10.3333333333,-1.33333333333,597.0,714.555555556,-117.555555556
1645,124,108,28,7,6.57142857143,0.428571428571,672.0,652.428571429,19.5714285714
1646,124,108,34,10,9.1,0.9,662.0,676.7,-14.7
1647,124,109,28,8,7.0,1.0,656.0,648.25,7.75
1648,124,109,34,7,8.28571428571,-1.28571428571,663.0,671.0,-8.0
1649,124,110,28,8,7.0,1.0,637.0,640.25,-3.25
1650,124,110,34,5,6.2,-1.2,708.0,662.4,45.6
1651,124,111,23,2,5.5,-3.5,670.0,675.0,-5.0
1652,124,111,28,7,7.0,0.0,637.0,644.142857143,-7.14285714286
1653,124,112,23,5,5.2,-0.2,657.0,695.0,-38.0
1654,124,112,28,6,6.83333333333,-0.833333333333,649.0,646.833333333,2.16666666667
1655,124,113,23,6,6.0,0.0,712.0,725.166666667,-13.1666666667
1656,124,113,28,5,7.0,-2.0,644.0,655.2,-11.2
1657,124,114,28,5,7.0,-2.0,635.0,645.6,-10.6
1658,124,115,24,5,6.6,-1.6,719.0,735.0,-16.0
1659,124,115,28,6,5.83333333333,0.166666666667,623.0,640.0,-17.0
1660,124,116,24,7,7.57142857143,-0.571428571429,693.0,693.857142857,-0.857142857143
1661,124,116,28,5,5.2,-0.2,633.0,633.0,0.0
1662,124,117,24,9,9.0,0.0,698.0,691.777777778,6.22222222222
1663,124,118,24,10,9.1,0.9,684.0,697.9,-13.9
1664,124,119,24,9,8.88888888889,0.111111111111,721.0,699.111111111,21.8888888889
1665,124,119,35,4,5.5,-1.5,517.0,584.5,-67.5
1666,124,120,24,8,7.125,0.875,723.0,687.625,35.375
1667,124,120,35,7,5.28571428571,1.71428571429,581.0,583.428571429,-2.42857142857
1668,124,121,24,6,6.66666666667,-0.666666666667,651.0,687.166666667,-36.1666666667
1669,124,121,31,3,5.33333333333,-2.33333333333,749.0,717.0,32.0
1670,124,121,35,7,6.0,1.0,620.0,590.0,30.0
1671,124,122,31,7,7.14285714286,-0.142857142857,703.0,677.857142857,25.1428571429
1672,124,122,35,6,5.83333333333,0.166666666667,648.0,604.833333333,43.1666666667
1673,124,123,24,4,5.5,-1.5,686.0,699.0,-13.0
1674,124,123,30,10,9.6,0.4,605.0,626.6,-21.6
1675,124,123,31,12,9.33333333333,2.66666666667,660.0,641.5,18.5
1676,124,123,35,4,6.25,-2.25,672.0,601.25,70.75
1677,124,124,24,3,5.33333333333,-2.33333333333,720.0,700.666666667,19.3333333333
1678,124,124,30,12,11.75,0.25,578.0,600.166666667,-22.1666666667
1679,124,124,32,8,11.375,-3.375,695.0,656.375,38.625
1680,124,125,26,3,3.66666666667,-0.666666666667,661.0,663.666666667,-2.66666666667
1681,124,125,30,12,11.9166666667,0.0833333333333,538.0,597.5,-59.5
1682,124,125,31,15,10.8666666667,4.13333333333,661.0,597.0,64.0
1683,124,126,26,4,3.25,0.75,628.0,671.5,-43.5
1684,124,127,32,8,8.375,-0.375,600.0,585.375,14.625
1685,124,128,35,4,5.75,-1.75,652.0,604.0,48.0
1686,124,129,35,5,5.0,0.0,667.0,605.6,61.4
