,x,y,z,num_of_neighbor_lesions,avg_of_num_of_neighbor_lesions,diff_of_num_of_neighbor_lesions_and_avg_of_num_of_neighbor_lesions,voxel_intensity,average_intensity_of_neighbor_voxels,diff_of_vox_int_and_avg_int_of_nei_vox
3582,232,254,194,23.0,24.347826086956523,-1.3478260869565233,185.0,183.91304347826087,1.0869565217391255
3583,232,254,195,26.0,25.03846153846154,0.9615384615384599,188.0,185.57692307692307,2.423076923076934
3584,232,254,196,26.0,25.807692307692307,0.1923076923076934,189.0,185.92307692307693,3.076923076923066
3585,232,254,197,26.0,25.423076923076923,0.5769230769230766,186.0,182.53846153846155,3.461538461538453
3586,232,254,198,26.0,25.0,1.0,177.0,175.76923076923077,1.2307692307692264
3587,232,254,199,26.0,24.923076923076923,1.0769230769230766,167.0,166.73076923076923,0.2692307692307736
3588,232,254,200,26.0,23.846153846153847,2.1538461538461533,156.0,157.6153846153846,-1.6153846153846132
3589,232,254,201,22.0,22.863636363636363,-0.8636363636363633,148.0,152.0,-4.0
3590,232,255,190,10.0,18.3,-8.3,152.0,161.3,-9.300000000000011
3591,232,255,191,16.0,18.6875,-2.6875,164.0,166.8125,-2.8125
3592,232,255,192,18.0,21.38888888888889,-3.3888888888888893,173.0,174.55555555555554,-1.555555555555543
3593,232,255,193,22.0,22.40909090909091,-0.40909090909091006,180.0,179.8181818181818,0.18181818181818699
3594,232,255,194,24.0,24.375,-0.375,185.0,183.875,1.125
3595,232,255,195,26.0,25.192307692307693,0.8076923076923066,189.0,186.1153846153846,2.884615384615387
3596,232,255,196,26.0,25.884615384615383,0.11538461538461675,189.0,186.34615384615384,2.6538461538461604
3597,232,255,197,26.0,25.653846153846153,0.3461538461538467,186.0,182.84615384615384,3.1538461538461604
3598,232,255,198,26.0,25.423076923076923,0.5769230769230766,178.0,175.92307692307693,2.076923076923066
3599,232,255,199,26.0,25.423076923076923,0.5769230769230766,167.0,166.96153846153845,0.03846153846154721
3600,232,255,200,26.0,24.5,1.5,157.0,158.03846153846155,-1.0384615384615472
3601,232,255,201,23.0,23.47826086956522,-0.4782608695652186,149.0,152.2608695652174,-3.260869565217405
3602,232,255,202,20.0,20.2,-0.1999999999999993,143.0,147.85,-4.849999999999994
3603,232,255,203,13.0,18.615384615384617,-5.615384615384617,139.0,146.6153846153846,-7.615384615384613
3604,232,256,190,17.0,18.764705882352942,-1.764705882352942,154.0,160.0,-6.0
3605,232,256,191,23.0,19.52173913043478,3.4782608695652186,166.0,164.56521739130434,1.4347826086956559
3606,232,256,192,23.0,22.130434782608695,0.8695652173913047,174.0,172.65217391304347,1.3478260869565304
3607,232,256,193,24.0,23.208333333333332,0.7916666666666679,180.0,179.0,1.0
3608,232,256,194,25.0,24.64,0.35999999999999943,186.0,183.64,2.3600000000000136
3609,232,256,195,26.0,25.423076923076923,0.5769230769230766,189.0,186.34615384615384,2.6538461538461604
3610,232,256,196,26.0,25.653846153846153,0.3461538461538467,190.0,186.34615384615384,3.6538461538461604
3611,232,256,197,25.0,25.28,-0.28000000000000114,186.0,183.32,2.680000000000007
3612,232,256,198,24.0,24.875,-0.875,178.0,176.91666666666666,1.0833333333333428
3613,232,256,199,24.0,24.875,-0.875,168.0,167.83333333333334,0.1666666666666572
3614,232,256,200,25.0,24.24,0.7600000000000016,158.0,159.4,-1.4000000000000057
3615,232,256,201,24.0,23.375,0.625,152.0,153.58333333333334,-1.5833333333333428
3616,232,256,202,22.0,20.09090909090909,1.90909090909091,147.0,148.8181818181818,-1.818181818181813
3617,232,256,203,14.0,18.5,-4.5,142.0,147.0,-5.0
3618,232,257,190,20.0,19.75,0.25,155.0,157.85,-2.8499999999999943
3619,232,257,191,26.0,20.46153846153846,5.53846153846154,165.0,162.5,2.5
3620,232,257,192,26.0,22.615384615384617,3.3846153846153832,173.0,170.73076923076923,2.2692307692307736
3621,232,257,193,26.0,23.46153846153846,2.53846153846154,180.0,177.30769230769232,2.692307692307679
3622,232,257,194,26.0,24.73076923076923,1.26923076923077,185.0,182.46153846153845,2.538461538461547
3623,232,257,195,26.0,25.576923076923077,0.42307692307692335,189.0,185.42307692307693,3.576923076923066
3624,232,257,196,26.0,25.307692307692307,0.6923076923076934,189.0,185.15384615384616,3.8461538461538396
3625,232,257,197,24.0,24.666666666666668,-0.6666666666666679,185.0,182.625,2.375
3626,232,257,198,22.0,23.90909090909091,-1.90909090909091,177.0,177.1818181818182,-0.18181818181818699
3627,232,257,199,22.0,23.90909090909091,-1.90909090909091,168.0,168.5,-0.5
3628,232,257,200,24.0,23.625,0.375,161.0,160.75,0.25
3629,232,257,201,23.0,23.565217391304348,-0.5652173913043477,155.0,156.17391304347825,-1.173913043478251
3630,232,257,202,20.0,21.25,-1.25,149.0,151.9,-2.9000000000000057
3631,232,257,203,11.0,20.454545454545453,-9.454545454545453,144.0,150.36363636363637,-6.363636363636374
3632,232,258,190,20.0,20.45,-0.4499999999999993,153.0,156.45,-3.4499999999999886
3633,232,258,191,26.0,21.153846153846153,4.846153846153847,163.0,160.73076923076923,2.2692307692307736
3634,232,258,192,26.0,23.23076923076923,2.76923076923077,170.0,168.46153846153845,1.5384615384615472
3635,232,258,193,26.0,23.923076923076923,2.0769230769230766,177.0,174.80769230769232,2.192307692307679
