voxel_id,x,y,z,num_of_neighbor_lesions,avg_of_num_of_neighbor_lesions,diff_of_num_of_neighbor_lesions_and_avg_of_num_of_neighbor_lesions,voxel_intensity,average_intensity_of_neighbor_voxels,diff_of_vox_int_and_avg_int_of_nei_vox
222,79,168,25,20,20.1,-0.1,637.0,640.0,-3.0
223,79,168,26,11,19.3636363636,-8.36363636364,575.0,622.727272727,-47.7272727273
224,79,169,20,14,18.2857142857,-4.28571428571,611.0,653.285714286,-42.2857142857
225,79,169,21,23,19.6086956522,3.39130434783,704.0,646.826086957,57.1739130435
226,79,169,22,26,22.0769230769,3.92307692308,647.0,658.576923077,-11.5769230769
227,79,169,23,26,22.8461538462,3.15384615385,696.0,659.5,36.5
228,79,169,24,24,22.8333333333,1.16666666667,719.0,651.833333333,67.1666666667
229,79,169,25,21,20.6666666667,0.333333333333,578.0,640.19047619,-62.1904761905
230,79,169,26,12,20.0833333333,-8.08333333333,541.0,614.833333333,-73.8333333333
231,79,170,20,17,17.5294117647,-0.529411764706,609.0,613.176470588,-4.17647058824
232,79,170,21,24,19.875,4.125,667.0,620.5,46.5
233,79,170,22,26,22.2692307692,3.73076923077,599.0,642.307692308,-43.3076923077
234,79,170,23,26,23.0384615385,2.96153846154,703.0,655.153846154,47.8461538462
235,79,170,24,25,22.8,2.2,728.0,654.84,73.16
236,79,170,25,23,20.4347826087,2.5652173913,611.0,638.782608696,-27.7826086957
237,79,170,26,14,19.5,-5.5,519.0,614.428571429,-95.4285714286
238,79,171,19,11,14.2727272727,-3.27272727273,538.0,578.272727273,-40.2727272727
239,79,171,20,20,16.75,3.25,606.0,586.05,19.95
240,79,171,21,25,19.76,5.24,593.0,595.72,-2.72
241,79,171,22,26,22.0769230769,3.92307692308,559.0,615.115384615,-56.1153846154
242,79,171,23,26,22.6153846154,3.38461538462,647.0,641.192307692,5.80769230769
243,79,171,24,25,22.48,2.52,729.0,653.96,75.04
244,79,171,25,24,20.0,4.0,662.0,646.375,15.625
245,79,171,26,16,18.875,-2.875,600.0,623.5,-23.5
246,79,172,19,11,13.8181818182,-2.81818181818,554.0,570.272727273,-16.2727272727
247,79,172,20,19,16.2105263158,2.78947368421,630.0,572.894736842,57.1052631579
248,79,172,21,24,19.125,4.875,563.0,581.583333333,-18.5833333333
249,79,172,22,25,21.28,3.72,545.0,594.52,-49.52
250,79,172,23,25,21.6,3.4,627.0,623.28,3.72
251,79,172,24,22,22.0,0.0,726.0,647.818181818,78.1818181818
252,79,172,25,22,19.3181818182,2.68181818182,619.0,655.727272727,-36.7272727273
253,79,172,26,17,17.8235294118,-0.823529411765,646.0,630.647058824,15.3529411765
254,79,173,20,13,16.3076923077,-3.30769230769,581.0,571.846153846,9.15384615385
255,79,173,21,20,17.9,2.1,582.0,570.65,11.35
256,79,173,22,23,19.3043478261,3.69565217391,567.0,578.739130435,-11.7391304348
257,79,173,23,22,19.7727272727,2.22727272727,623.0,605.136363636,17.8636363636
258,79,173,24,17,21.0,-4.0,653.0,633.411764706,19.5882352941
259,79,173,26,16,17.375,-1.375,631.0,626.625,4.375
260,79,173,27,12,16.0833333333,-4.08333333333,553.0,628.416666667,-75.4166666667
261,79,174,21,14,16.7142857143,-2.71428571429,536.0,565.928571429,-29.9285714286
262,79,174,22,18,17.6111111111,0.388888888889,561.0,572.055555556,-11.0555555556
263,79,174,23,17,18.2352941176,-1.23529411765,588.0,589.823529412,-1.82352941176
264,79,174,26,13,16.7692307692,-3.76923076923,579.0,617.846153846,-38.8461538462
265,79,174,27,12,15.75,-3.75,564.0,618.833333333,-54.8333333333
266,79,175,22,13,15.6153846154,-2.61538461538,520.0,560.538461538,-40.5384615385
267,79,175,27,10,16.1,-6.1,557.0,608.3,-51.3
268,79,176,22,8,14.875,-6.875,487.0,561.25,-74.25
